"QueryText "," NumResultRows"," UtilityRowCount","CallNestingLevel","QueryBand "," StartTime"," FirstStepTime"," FirstRespTime","NumSteps"," TotalIOCount"," AMPCPUTime"," ParserCPUTime"," UtilityByteCount"," DelayTime","NumOfActiveAMPs"," MaxAMPCPUTime","MaxCPUAmpNumber"," MaxAmpIO","MaxIOAmpNumber"," MinAmpIO"," SpoolUsage","ResponseTimeMet"," TDWMEstMaxRows"," TDWMEstLastRows"," TDWMEstTotalTime"," AMPCPUTimeNorm"," ParserCPUTimeNorm"," MaxAMPCPUTimeNorm","MaxCPUAmpNumberNorm"," MinAmpCPUTimeNorm"," EstProcTime"," EstMaxRowCount"," WDDelayTime"," ParserExpReq","CPUDecayLevel","IODecayLevel"," SeqRespTime"," ReqIOKB"," ReqPhysIO"," ReqPhysIOKB"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:01.52","2014-11-08 20:34:01.52","2014-11-08 20:34:09.71"," 18"," 17,492"," 5.828"," 0.000"," ?"," ?"," 2"," 2.920"," 1"," 8,844"," 1"," 8,648"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 136.549"," 0.000"," 68.415"," 1"," 68.134"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.530"," 2,161,348.000"," 10,728.000"," 1,351,873.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:39.61","2014-11-08 20:23:39.61","2014-11-08 20:23:44.95"," 11"," 8,863"," 2.296"," 0.000"," ?"," ?"," 2"," 1.152"," 1"," 4,432"," 1"," 4,431"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 53.794"," 0.000"," 26.991"," 1"," 26.803"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.520"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:09.72","2014-11-08 20:34:09.72","2014-11-08 20:34:17.84"," 18"," 17,533"," 5.884"," 0.000"," ?"," ?"," 2"," 2.948"," 0"," 8,884"," 1"," 8,649"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 137.861"," 0.000"," 69.071"," 0"," 68.790"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.460"," 2,166,298.000"," 10,727.000"," 1,351,477.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:44.95","2014-11-08 20:23:44.95","2014-11-08 20:23:50.30"," 11"," 8,791"," 2.240"," 0.000"," ?"," ?"," 2"," 1.140"," 0"," 4,430"," 0"," 4,361"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.483"," 0.000"," 26.710"," 0"," 25.773"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.520"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:17.84","2014-11-08 20:34:17.84","2014-11-08 20:34:27.25"," 18"," 17,542"," 7.196"," 0.004"," ?"," ?"," 2"," 3.624"," 1"," 8,822"," 1"," 8,720"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 168.601"," 0.093"," 84.910"," 1"," 83.691"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 9.740"," 2,166,048.000"," 10,709.000"," 1,349,343.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:50.30","2014-11-08 20:23:50.30","2014-11-08 20:23:55.88"," 11"," 8,791"," 2.248"," 0.000"," ?"," ?"," 2"," 1.132"," 0"," 4,430"," 0"," 4,361"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.669"," 0.000"," 26.522"," 0"," 26.147"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.760"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:27.26","2014-11-08 20:34:27.26","2014-11-08 20:34:37.52"," 18"," 17,543"," 7.800"," 0.000"," ?"," ?"," 2"," 3.928"," 0"," 8,885"," 1"," 8,658"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 182.753"," 0.000"," 92.033"," 0"," 90.720"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 10.730"," 2,167,329.000"," 10,733.000"," 1,352,096.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:55.89","2014-11-08 20:23:55.89","2014-11-08 20:24:01.25"," 11"," 8,863"," 2.296"," 0.004"," ?"," ?"," 2"," 1.164"," 0"," 4,432"," 1"," 4,431"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 53.794"," 0.093"," 27.272"," 0"," 26.522"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.540"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:37.53","2014-11-08 20:34:37.53","2014-11-08 20:34:46.77"," 18"," 17,576"," 7.168"," 0.000"," ?"," ?"," 2"," 3.604"," 1"," 8,921"," 1"," 8,655"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 167.945"," 0.000"," 84.441"," 1"," 83.504"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 9.750"," 2,170,031.000"," 10,746.000"," 1,352,353.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:24:01.26","2014-11-08 20:24:01.26","2014-11-08 20:24:06.63"," 11"," 8,792"," 2.228"," 0.000"," ?"," ?"," 2"," 1.128"," 0"," 4,433"," 1"," 4,359"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.202"," 0.000"," 26.429"," 0"," 25.773"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.560"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:46.77","2014-11-08 20:34:46.77","2014-11-08 20:34:55.47"," 18"," 17,570"," 6.484"," 0.000"," ?"," ?"," 2"," 3.268"," 1"," 8,884"," 1"," 8,686"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 151.919"," 0.000"," 76.569"," 1"," 75.350"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 9.120"," 2,171,448.000"," 10,735.000"," 1,352,463.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:06.64","2014-11-08 20:24:06.69","2014-11-08 20:24:12.24"," 8"," 8,262"," 1.732"," 0.044"," ?"," ?"," 2"," 0.880"," 0"," 4,132"," 1"," 4,130"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.580"," 1.030"," 20.618"," 0"," 19.962"," 66.582"," 175,077"," ?"," 0.001"," 0"," 0"," 5.550"," 1,031,404.000"," 8,017.000"," 1,014,962.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:34:55.47","2014-11-08 20:34:55.47","2014-11-08 20:35:03.64"," 18"," 17,542"," 5.764"," 0.000"," ?"," ?"," 2"," 2.908"," 1"," 8,824"," 1"," 8,718"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 135.050"," 0.000"," 68.134"," 1"," 66.916"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.510"," 2,165,982.000"," 10,710.000"," 1,349,343.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:12.24","2014-11-08 20:24:12.29","2014-11-08 20:24:17.78"," 8"," 8,200"," 1.728"," 0.040"," ?"," ?"," 2"," 0.880"," 0"," 4,102"," 0"," 4,098"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.486"," 0.937"," 20.618"," 0"," 19.868"," 66.582"," 175,077"," ?"," 0.001"," 0"," 0"," 5.490"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:35:03.64","2014-11-08 20:35:03.64","2014-11-08 20:35:12.02"," 18"," 17,609"," 6.164"," 0.000"," ?"," ?"," 2"," 3.104"," 0"," 8,862"," 1"," 8,747"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 144.421"," 0.000"," 72.726"," 0"," 71.695"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.750"," 2,174,413.000"," 10,742.000"," 1,351,542.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:17.78","2014-11-08 20:24:17.78","2014-11-08 20:24:23.34"," 8"," 8,234"," 1.716"," 0.000"," ?"," ?"," 2"," 0.880"," 0"," 4,132"," 1"," 4,102"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.205"," 0.000"," 20.618"," 0"," 19.587"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.560"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:16.80","2014-11-08 20:21:16.80","2014-11-08 20:21:17.24"," 19"," 1,408"," 0.180"," 0.000"," ?"," ?"," 2"," 0.092"," 1"," 741"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 4.216"," 0.000"," 2.155"," 1"," 2.061"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.460"," 129,067.000"," 828.000"," 99,744.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:23.35","2014-11-08 20:24:23.35","2014-11-08 20:24:28.83"," 8"," 8,262"," 1.748"," 0.000"," ?"," ?"," 2"," 0.900"," 0"," 4,132"," 1"," 4,130"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.955"," 0.000"," 21.087"," 0"," 19.868"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.470"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:17.25","2014-11-08 20:21:17.25","2014-11-08 20:21:17.67"," 19"," 1,409"," 0.164"," 0.000"," ?"," ?"," 2"," 0.088"," 1"," 742"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.841"," 0.000"," 2.061"," 1"," 1.780"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.410"," 129,158.000"," 834.000"," 99,935.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:28.83","2014-11-08 20:24:28.83","2014-11-08 20:24:34.33"," 8"," 8,234"," 1.776"," 0.000"," ?"," ?"," 2"," 0.900"," 0"," 4,132"," 1"," 4,102"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 41.611"," 0.000"," 21.087"," 0"," 20.524"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.500"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:17.67","2014-11-08 20:21:17.68","2014-11-08 20:21:18.11"," 19"," 1,409"," 0.168"," 0.000"," ?"," ?"," 2"," 0.096"," 1"," 742"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.935"," 0.000"," 2.249"," 1"," 1.686"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.440"," 129,158.000"," 826.000"," 99,619.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:34.33","2014-11-08 20:24:34.33","2014-11-08 20:24:39.81"," 8"," 8,262"," 1.688"," 0.000"," ?"," ?"," 2"," 0.852"," 0"," 4,132"," 1"," 4,130"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 39.549"," 0.000"," 19.962"," 0"," 19.587"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.480"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:18.12","2014-11-08 20:21:18.12","2014-11-08 20:21:18.55"," 19"," 1,409"," 0.176"," 0.000"," ?"," ?"," 2"," 0.092"," 1"," 742"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 4.123"," 0.000"," 2.155"," 1"," 1.968"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.440"," 129,158.000"," 824.000"," 99,617.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:39.81","2014-11-08 20:24:39.81","2014-11-08 20:24:45.29"," 8"," 8,200"," 1.736"," 0.000"," ?"," ?"," 2"," 0.896"," 0"," 4,102"," 0"," 4,098"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.674"," 0.000"," 20.993"," 0"," 19.681"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.480"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:18.56","2014-11-08 20:21:18.56","2014-11-08 20:21:18.98"," 19"," 1,409"," 0.160"," 0.000"," ?"," ?"," 2"," 0.084"," 1"," 742"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.748"," 0.000"," 1.968"," 1"," 1.780"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.430"," 129,158.000"," 832.000"," 99,933.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:45.29","2014-11-08 20:24:45.29","2014-11-08 20:24:50.75"," 8"," 8,262"," 1.732"," 0.000"," ?"," ?"," 2"," 0.888"," 0"," 4,132"," 1"," 4,130"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.579"," 0.000"," 20.805"," 0"," 19.774"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.460"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:18.99","2014-11-08 20:21:18.99","2014-11-08 20:21:19.50"," 19"," 1,409"," 0.168"," 0.000"," ?"," ?"," 2"," 0.084"," 1"," 742"," 1"," 667"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.936"," 0.000"," 1.968"," 1"," 1.968"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.520"," 129,158.000"," 826.000"," 99,619.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:50.75","2014-11-08 20:24:50.76","2014-11-08 20:24:56.25"," 8"," 8,200"," 1.712"," 0.000"," ?"," ?"," 2"," 0.876"," 0"," 4,130"," 0"," 4,070"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.111"," 0.000"," 20.524"," 0"," 19.587"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.490"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:19.51","2014-11-08 20:21:19.51","2014-11-08 20:21:19.94"," 19"," 1,409"," 0.164"," 0.000"," ?"," ?"," 2"," 0.084"," 1"," 706"," 0"," 703"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.842"," 0.000"," 1.968"," 1"," 1.874"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.440"," 129,158.000"," 826.000"," 99,619.000"
"select o_orderpriority, count(*) as order_count from orders where o_orderdate >= date '1993-07-01' and o_orderdate < date '1993-07-01' + interval '3' month and exists ( select * from l "," 5"," ?"," 0","? ","2014-11-08 20:24:56.25","2014-11-08 20:24:56.25","2014-11-08 20:25:01.74"," 8"," 8,200"," 1.720"," 0.000"," ?"," ?"," 2"," 0.872"," 0"," 4,130"," 0"," 4,070"," 1,683,456","T "," 175,077"," 131,308"," 66,582"," 40.298"," 0.000"," 20.430"," 0"," 19.868"," 66.582"," 175,077"," ?"," ?"," 0"," 0"," 5.490"," 1,031,404.000"," 7,985.000"," 1,013,938.000"
"select s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment from part, supplier, partsupp, nation, region where p_partkey = ps_partkey and s_suppkey = ps_suppkey "," 460"," ?"," 0","? ","2014-11-08 20:21:19.95","2014-11-08 20:21:19.95","2014-11-08 20:21:20.38"," 19"," 1,407"," 0.168"," 0.000"," ?"," ?"," 2"," 0.084"," 1"," 706"," 0"," 701"," 583,680","T "," 42,646"," 42,646"," 16,665"," 3.936"," 0.000"," 1.968"," 1"," 1.968"," 16.665"," 42,646"," ?"," ?"," 0"," 0"," 0.430"," 129,135.000"," 834.000"," 99,955.000"
